symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
MMM,31/12/21,USD,7454000000,791000000,None,274000000,1025000000,1915000000,1603000000,122000000,903000000,5929000000,-1317000000,-6145000000,-2000000,2199000000,2199000000,None,3420000000,3420000000,None,None,None,None,-1560000000,639000000,-8000000,None,5921000000,47072000000,15403000000,4564000000,4564000000,4985000000,4660000000,23999000000,10287000000,None,18774000000,5288000000,13486000000,435000000,129000000,201000000,339000000,2608000000,31955000000,9035000000,2994000000,529000000,1307000000,9000000,24795000000,93000000,17347000000,1291000000,16056000000,17356000000,3191000000,3403000000,15046000000,30463000000,45821000000,9000000,571845478,16560000000,35355000000,18795000000,18795000000,7369000000,7197000000,1243000000,8984000000,None,-488000000,26000000,488000000,35250000000,-155000000,None,544000000,7206000000,1285000000,488000000,5919000000,6892000000,7694000000,8238000000,Common Stock,3M Company,"The 3M Company is an American multinational conglomerate corporation operating in the fields of industry, worker safety, US health care, and consumer goods. The company produces over 60,000 products under several brands, including adhesives, abrasives, laminates, passive fire protection, personal protective equipment, window films, paint protection films, dental and orthodontic products, electrical and electronic connecting and insulating materials, medical products, car-care products, electronic circuits, healthcare software and optical films. It is based in Maplewood, a suburb of Saint Paul, Minnesota.",66740,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"3M CENTER, BLDG. 220-13E-26A, ST PAUL, MN, US",December,31/12/21,85956264000,9705000000,14.87,2.023,26.31,5.92,0.0415,10.12,61.06,0.168,0.22,0.103,0.423,35355001000,16579000000,10.12,-0.043,0.003,174.25,14.87,14.12,2.431,5.6,2.768,10.19,0.956,202.24,139.74,169.23,184.97,571100000,12/3/22,17/2/22
AOS,31/12/21,USD,641100000,None,None,142900000,130100000,77900000,75100000,25500000,109500000,487100000,-349900000,-421000000,None,366500000,366500000,None,170100000,170100000,None,None,0,None,-366500000,None,-129800000,None,487100000,3474400000,1752600000,443300000,631400000,447700000,634400000,1721800000,606700000,736500000,992600000,364800000,627800000,188100000,None,188100000,39100000,90000000,1642200000,1118800000,745900000,155200000,6800000,6800000,523400000,22300000,196700000,6800000,189900000,196700000,366100000,181800000,1832200000,1503400000,2826600000,295200000,158695692,1310900000,3534600000,2941700000,2228000000,682000000,701400000,94200000,807900000,None,-4300000,None,4300000,3538900000,20400000,None,12300000,625600000,138500000,4300000,487100000,476900000,629900000,642200000,Common Stock,A. O. Smith Corporation,A. O. Smith Corporation is an American manufacturer of both residential and commercial water heaters and boilers and the largest manufacturer and marketer of water heaters in North America. It also supplies water treatment products in the Asian market.,91142,NYSE,USD,USA,MANUFACTURING,HOUSEHOLD APPLIANCES,"11270 WEST PARK PLACE, MILWAUKEE, WI, US",December,31/12/21,10921154000,686800000,22.98,2.006,11.62,1.06,0.0161,3.02,22.13,0.138,0.172,0.115,0.265,3538900000,1310900000,3.02,0.182,0.193,82.78,22.98,20.04,3.086,6.12,3.05,15.25,1.163,86.42,58.87,78.31,73.04,131414000,15/2/22,28/1/22
ABT,31/12/21,USD,10533000000,831000000,None,380000000,1151000000,3538000000,1885000000,383000000,456000000,7071000000,-2008000000,-5494000000,-204000000,2299000000,2299000000,None,3202000000,3202000000,None,None,0,None,-2044000000,None,3031000000,None,7071000000,75196000000,24239000000,9799000000,10249000000,5157000000,6487000000,46976000000,8959000000,10405000000,35970000000,12739000000,23231000000,256000000,816000000,450000000,8833000000,None,39394000000,13105000000,4408000000,520000000,754000000,0,20990000000,None,18050000000,754000000,17296000000,18050000000,8697000000,None,35802000000,11822000000,31528000000,24470000000,1769390000,10578000000,42541000000,31963000000,18537000000,8425000000,11324000000,2742000000,16219000000,43000000,-533000000,-491000000,533000000,43074000000,277000000,1491000000,2047000000,8211000000,1140000000,533000000,7071000000,7643000000,8744000000,10791000000,Common Stock,Abbott Laboratories,"Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park, Illinois, United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today, it sells medical devices, diagnostics, branded generic medicines and nutritional products. It split off its research-based pharmaceuticals business into AbbVie in 2013.",1800,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"100 ABBOTT PARK ROAD, ABBOTT PARK, IL, US",December,31/12/21,2.15868E+11,12756000000,31.07,2.19,20.3,1.82,0.0158,3.94,24.27,0.164,0.214,0.078,0.205,43074998000,25009000000,3.94,-0.075,0.072,143.72,31.07,24.15,5.01,6,4.997,20.02,0.742,142.1,104.19,130.01,123.59,1763480000,16/5/22,13/4/22
ABBV,31/12/21,USD,22777000000,6646000000,None,1628000000,1660000000,8503000000,787000000,1321000000,142000000,11549000000,-2344000000,-19039000000,0,934000000,934000000,None,9261000000,9261000000,None,None,1000000000,None,-690000000,None,1297000000,-97000000,11542000000,1.46529E+11,27928000000,9746000000,9830000000,3128000000,9977000000,1.19396E+11,5110000000,5617000000,1.0833E+11,75951000000,32379000000,None,277000000,84000000,4993000000,4884000000,1.31121E+11,35194000000,2882000000,None,12495000000,14000000,1.19343E+11,25000000,75962000000,12472000000,None,75976000000,35180000000,28701000000,15408000000,3143000000,3127000000,18000000,1773000000,18702000000,56197000000,37495000000,17446000000,17924000000,12349000000,8046000000,28027000000,39000000,-2423000000,None,2423000000,56146000000,-2500000000,803000000,7700000000,12982000000,1440000000,2423000000,11549000000,11760000000,15405000000,23105000000,Common Stock,AbbVie Inc,AbbVie is an American publicly traded biopharmaceutical company founded in 2013. It originated as a spin-off of Abbott Laboratories.,1551152,NYSE,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 NORTH WAUKEGAN ROAD, NORTH CHICAGO, IL, US",December,31/12/21,2.64499E+11,28050000000,23.18,1.279,8.71,5.31,0.0388,6.45,31.75,0.205,0.347,0.0822,0.809,56197001000,38883000000,6.45,248.9,0.074,149.75,23.18,10.2,4.707,18.79,5.75,21.02,0.798,150.36,97.51,137.55,120.24,1768750000,16/5/22,13/4/22
ABMD,31/3/21,USD,274578000,60793000,None,7802000,10556000,25077000,53383000,12059000,-2535000,225525000,-223344000,-8067000,None,11310000,11310000,None,None,None,None,None,None,None,3269000,None,40369000,-2798000,225525000,1494359000,787965000,232710000,232710000,81059000,97179000,782403000,197129000,81353000,190618000,112050000,78568000,62995000,264085000,350985000,26032000,113082000,164684000,128969000,34842000,24322000,None,None,39372000,None,None,None,None,None,3759000,10162000,1329675000,288030000,828007000,453000,45270948,327335000,847522000,520187000,161907000,229557000,334183000,121875000,456058000,6717000,None,None,None,847522000,51946000,23100000,24097000,288220000,62695000,None,225525000,225269000,229557000,253654000,Common Stock,Abiomed Inc,"Abiomed is a publicly-traded medical devices company that develops and manufactures external and implantable circulatory support devices. The company is headquartered in Danvers, Massachusetts and has three additional offices, two in Germany in the cities of Berlin and Aachen, and another in Tokyo, Japan.",815094,NASDAQ,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"22 CHERRY HILL DRIVE, DANVERS, MA, UNITED STATES",March,31/12/21,14214708000,280839000,107.36,2.75,31.48,0,0,2.909,22.11,0.133,0.253,0.105,0.0988,1003148000,685615000,2.909,-0.259,0.127,365,107.36,-,14.17,9.48,12.87,45.77,1.359,379.3,261.27,315.15,324.88,45516200,None,None
ACN,31/8/21,USD,8975148000,2356052000,None,1540948000,2002519000,1127563000,580132000,1471613000,None,13751661000,-4309766000,-4926337000,None,3703124000,3703124000,None,2236094000,2236094000,None,None,None,None,-2637349000,None,-260955000,None,5906809000,43175843000,19666511000,8168174000,8172468000,None,8796992000,23509332000,1639105000,2412449000,12836799000,1710938000,11125861000,378093000,329526000,4294000,1765831000,2455412000,23646389000,15708867000,2274057000,4929257000,12080000,65553000,7369862000,3441081000,0,12080000,None,65553000,668583000,553839000,19529454000,3408491000,13988748000,72000,633546144,7304786000,50533389000,43228603000,34169261000,7621529000,8742599000,1118320000,10177662000,33365000,-59492000,-26127000,59492000,15370000,165714000,512051000,316743000,7677380000,1770571000,59492000,5990545000,6049149000,7736872000,8053615000,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,30/11/21,2.03827E+11,9030121000,33.55,2.544,32.2,3.7,0.0123,9.61,84.72,0.115,0.152,0.125,0.32,53736358000,16364128000,9.61,0.197,0.272,380.96,33.55,30.49,3.793,9.97,3.737,19.75,1.214,416.29,241.65,362.18,335.15,632001000,15/2/22,12/1/22
ATVI,31/12/20,USD,2414000000,184000000,None,-810000000,43000000,116000000,80000000,-71000000,None,2699000000,-59000000,-521000000,None,None,None,None,365000000,365000000,None,None,0,None,90000000,None,1786000000,-48000000,2197000000,23109000000,10565000000,8647000000,8647000000,None,1052000000,12384000000,209000000,841000000,10216000000,451000000,9765000000,None,None,None,514000000,641000000,8072000000,3100000000,295000000,3389000000,None,25000000,4972000000,None,3605000000,None,3605000000,3605000000,1116000000,949000000,15037000000,5563000000,9691000000,0,771000000,5817000000,7956000000,2139000000,2260000000,2734000000,1848000000,1150000000,3289000000,None,-99000000,21000000,99000000,8055000000,-87000000,117000000,197000000,2616000000,419000000,130000000,2197000000,2194000000,2734000000,2912000000,Common Stock,Activision Blizzard Inc,"Activision Blizzard, Inc. is an American video game holding company based in Santa Monica, California. Activision Blizzard currently includes five business units: Activision Publishing, Blizzard Entertainment, King, Major League Gaming, and Activision Blizzard Studios.",718877,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3100 OCEAN PARK BLVD, SANTA MONICA, CA, US",December,31/12/21,63446405000,3452000000,23.67,6.02,22.59,0.47,0.0058,3.44,11.33,0.307,0.379,0.0866,0.165,8803000000,6486000000,3.44,0.106,-0.103,94.34,23.67,22.27,7.21,3.588,6.4,14.92,0.579,99.46,56.4,73.11,79.37,779057000,6/5/22,13/4/22
ADM,31/12/21,USD,6595000000,1154000000,None,4373000000,1719000000,996000000,1169000000,578000000,2839000000,2735000000,-2669000000,-1118000000,-1085000000,0,0,None,834000000,834000000,None,None,1329000000,None,None,None,2808000000,None,2709000000,56136000000,31909000000,943000000,943000000,14481000000,3343000000,24227000000,9803000000,16420000000,6747000000,2565000000,4182000000,5285000000,5285000000,8016000000,5158000000,1369000000,40295000000,21948000000,6388000000,581000000,1528000000,958000000,11421000000,None,8581000000,570000000,8011000000,9539000000,4790000000,1233000000,22177000000,300000000,21655000000,2994000000,564000000,5987000000,85249000000,79262000000,79262000000,2581000000,2994000000,171000000,3406000000,96000000,-265000000,96000000,265000000,-1571000000,94000000,807000000,177000000,3287000000,578000000,301000000,2735000000,3141000000,3552000000,3729000000,Common Stock,Archer-Daniels-Midland Company,"The Archer-Daniels-Midland Company, commonly known as ADM, is an American multinational food processing and commodities trading corporation founded in 1902 and headquartered in Chicago, Illinois. The company operates more than 270 plants and 420 crop procurement facilities worldwide, where cereal grains and oilseeds are processed into products used in food, beverage, nutraceutical, industrial, and animal feed markets worldwide.",7084,NYSE,USD,USA,MANUFACTURING,FATS & OILS,"77 W. WACKER DR., CHICAGO, IL, US",December,31/12/21,44354974000,3934000000,16.47,21.72,40.14,1.48,0.0211,4.79,151.15,0.0318,0.0345,0.0347,0.128,85248999000,5987000000,4.79,0.131,0.284,73.23,16.47,14.56,0.52,1.906,0.605,11.27,0.809,79.06,53.73,71.29,64.83,562167000,8/9/21,7/2/22
ADBE,3/12/21,USD,7230000000,216000000,None,144000000,905000000,788000000,348000000,430000000,None,4822000000,-3537000000,-4301000000,None,3950000000,0,None,None,None,None,None,None,None,0,291000000,-634000000,-26000000,4822000000,27241000000,8669000000,3844000000,5798000000,None,1880000000,18997000000,1673000000,1451000000,14507000000,1839000000,12668000000,1954000000,None,1954000000,993000000,883000000,12444000000,6932000000,312000000,9758000000,None,97000000,5512000000,550000000,4123000000,None,None,4123000000,1790000000,252000000,14797000000,17399000000,23905000000,0,475000000,13920000000,15785000000,1865000000,181000000,5802000000,5406000000,2540000000,8118000000,17000000,-113000000,17000000,113000000,-17000000,0,None,561000000,5705000000,883000000,113000000,4822000000,4843000000,5818000000,6379000000,Common Stock,Adobe Inc,"Adobe Inc. is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose, California, it has historically specialized in software for the creation and publication of a wide range of content, including graphics, photography, illustration, animation, multimedia, motion pictures and print. The company has expanded into digital marketing management software. Adobe has millions of users worldwide. Flagship products include: Photoshop image editing software, Adobe Illustrator vector-based illustration software, Adobe Acrobat Reader and the Portable Document Format (PDF), plus a host of tools primarily for audio-visual content creation, editing and publishing.",796343,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"345 PARK AVE, SAN JOSE, CA, US",November,30/11/21,2.19897E+11,6378000000,46.46,1.723,31.15,0,0,10.02,33.07,0.305,0.368,0.141,0.344,15785000000,13920000000,10.02,-0.447,0.2,653.93,46.46,31.85,13.93,14.13,13.17,31.47,1.014,699.54,416.81,522.42,586.6,472348000,None,24/3/05
AAP,31/12/21,USD,1112262000,550425000,None,391047000,152924000,259933000,352839000,32652000,120272000,616108000,-287314000,-1064112000,0,906208000,906208000,None,160925000,160925000,None,3074000,None,None,-903134000,None,-239164000,None,616108000,12194209000,6275476000,601428000,601428000,4659018000,782785000,5918689000,1528311000,2403567000,1644917000,651217000,993700000,None,None,None,232245000,73651000,9065918000,5180307000,3922007000,None,None,None,3900611000,2337651000,2087346000,None,1034320000,2087346000,481249000,103034000,3128291000,2300288000,4605791000,8000,62009000,4928748000,10996289000,10191772000,6069241000,838717000,4090031000,None,4122531000,None,-37791000,-37791000,-37791000,10996289000,4999000,228800000,31100000,805925000,189817000,0,616108000,620240000,838717000,869817000,Common Stock,Advance Auto Parts Inc,"Advance Auto Parts, Inc. (Advance) is an American automotive aftermarket parts provider. Headquartered in Raleigh, North Carolina, it serves both professional installer and do-it-yourself (DIY) customers.",1158449,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"2635 EAST MILLBROOK ROAD, RALEIGH, NC, US",December,31/12/21,12559834000,1161460000,21.53,1.109,50.89,3.25,0.0292,9.55,171.77,0.056,0.082,0.0469,0.184,10997989000,4931356000,9.55,-0.207,0.013,257.59,21.53,17.04,1.142,4.273,1.467,14.62,1.252,244.55,158.71,230.31,216.55,61098000,1/4/22,17/3/22
